GeneID,67_S53,68_S54
4933404K13Rik,0,0
9530020I12Rik,0,0
Abcf3,1195,1282
Nxpe2,3,1
Hmgcs1,5562,4904
Xpnpep2,24,11
4930542D17Rik,0,0
Oprm1,1,5
Erbin,741,1247
Tbx22,0,0
Cntrob,243,280
Ascc3,656,630
Dhodh,685,423
Ccnh,1443,1440
Rapgef1,1513,1414
Tpra1,638,549
Vamp7,895,660
Zmynd8,1071,960
Tmem265,35,29
Calr4,0,0
Eif4a1,10356,8798
Glmn,488,312
Ptch2,5,2
Fam173a,2232,1831
Rps15a,6599,5053
Igsf11,0,0
Dnm3,190,91
Mir6936,2,4
Rnf2,373,431
Ddhd2,299,383
1700025M24Rik,0,1
Ccdc58,902,686
9430015G10Rik,237,212
A530053G22Rik,0,0
Npm3-ps1,6,2
Barx1,0,0
Bard1,140,99
Acsl5,6034,5851
Brwd1,514,522
Adgrb2,6,8
Mir669a-2,0,0
Clcn5,25,33
Pomp,5614,4426
Rps24,5526,4345
Rps18,14816,11625
Serinc3,14537,17277
Tmem204,9,9
Agmat,1,0
Plb1,5,0
Zfp710,119,104
Tarbp1,103,94
Arid5a,7696,7605
Gm3636,0,2
Gm44805,0,0
Borcs8,691,732
Cstf1,1344,977
Tbc1d20,1228,1492
1700001C19Rik,27,21
Erich6b,0,0
Ndufb9,5190,4361
AY074887,14,15
Rnf122,68,37
Nrxn1,0,0
Klhl13,0,0
Ikbip,336,268
Pnpla8,303,355
Plxdc2,379,543
Surf1,1299,1059
Sptb,4,15
Ptprt,0,0
B4galt1,2524,3249
Frmd7,0,0
Banp,721,584
Atf5,21,16
Nptxr,9,3
Il1rapl2,0,0
Hrg,0,0
Bin1,3481,2971
Nin,553,610
Aldh3a2,729,998
Aldh3a1,0,0
Alcam,697,772
Akt2,4463,3609
Zfp61,239,204
Gm5177,1,0
Fbn2,0,0
Hs3st1,2,8
Agfg1,4214,4789
Hoxd4,2,0
Flywch1,1712,1559
Mettl6,693,615
Mir7118,0,0
Sparcl1,0,0
Pus10,517,531
Zfp959,163,153
Sacm1l,1327,1569
Cyb561d2,1449,1166
Rexo2,5342,5284
Csnk1a1,8570,8333
Bcl9l,155,164
Mreg,16,8
Chmp6,1872,1510
Gm2012,0,0
Cyp3a25,4,0
Cyb561a3,1687,1482
Gpr35,0,8
Hspa9,6391,5557
Col4a5,0,0
Tmco5,0,0
Vsig1,0,0
Asf1a,699,667
Nudt2,733,569
Sar1b,2843,2516
Prl2b1,0,0
Ndufc1,2572,1905
Dus2,843,733
Lamtor5,2457,2078
Nfatc2,518,599
Rbm39,5611,5127
Usp46,160,193
4930440I19Rik,0,0
Nfya,162,142
Zpbp,132,110
Lhfp,0,0
Vax2os,0,0
Top3b,1156,939
Gm5767,0,0
Tmem54,0,0
Zbtb48,98,97
Atg4d,1289,1002
Rfx6,0,0
Mir7663,0,0
Dido1,415,351
Esr1,6,9
Htr1f,0,0
Ube2e1,492,322
Slc30a1,205,246
Itm2a,1178,1138
Lhx5,6,2
Lhx1,1,0
Adora3,208,216
Tnfrsf11a,35,10
Lgals1,70794,52281
Lfng,2841,2074
Lep,0,0
Slk,1346,1786
Il2ra,11536,11734
Il2,2,19
Il18r1,1011,1155
Il1rap,112,178
Vstm2a,2,1
Sox7,0,0
Sox6,0,0
Obp1a,0,0
Pja1,1409,1511
Pitx3,0,1
Pitpna,6906,6360
Pou1f1,3,3
Pip5k1a,768,758
Pip5k1b,8,6
Pip4k2a,1933,2022
Cradd,211,292
Gm6551,0,0
Prh1,0,0
Gm4850,0,0
4930448K20Rik,0,0
Tyrobp,101,75
Grem2,0,0
Prss43,0,0
Eml4,858,1003
Fam118b,921,788
Sephs1,1391,1595
Ankrd53,2,1
Mir7213,0,0
Chrnb2,39,9
Chrnb1,41,61
Cd8a,22306,23416
Cd83,33,88
Cd80,160,114
Pla2g5,0,0
Matn1,0,0
Syt1,0,0
Sun3,0,0
Foxp2,4,3
Lap3,1612,1291
Prpf31,2312,2017
Pnkd,602,565
Nek6,2641,2711
Srrd,396,308
Lrrc39,4,2
Kng2,0,0
Tmem87a,127,110
Mir465c-1,0,0
Pxn,2582,2087
AF357425,0,0
4930502E09Rik,9,2
Slc7a3,143,110
Tlr8,0,0
Gm10147,0,0
Chd2,959,744
Trim9,0,4
Mir6397,0,0
Sox1,0,0
Soat1,1689,2073
Tbx10,0,0
Sin3a,368,508
Pdk4,0,0
Timm10,291,263
Slc16a7,0,1
Slc12a7,640,951
Slc10a2,0,0
5430402E10Rik,0,0
Atp2b2,0,0
Gnpda2,882,810
Dlgap1,0,2
Dnm2,6203,6256
Zfp248,59,40
Large1,50,9
St6galnac5,0,0
Insl3,9,12
Il2rg,21837,22136
Gm12296,0,0
Gm35496,0,0
Kdm3a,1504,2166
Eif3g,4193,3478
Nudt3,1564,1317
Gm3143,0,0
Il1r2,161,179
Ccni,5970,6147
Armc10,1086,965
Lsm1,1243,1179
Eif2s2,4160,3231
Glod4,2609,2400
Depdc1a,104,118
Ptchd4,0,0
Alpi,0,0
Arid1a,1350,1455
Olfr911-ps1,0,0
Olfr898,0,0
Dusp16,99,30
Slc37a1,491,625
Mir6973b,0,0
Pax9,19,31
Fbxo43,3,0
Pbrm1,2125,2524
Pex2,844,776
Safb,1475,1347
D10Wsu102e,380,570
Pga5,0,0
Nova1,0,0
Ttll5,406,330
Cenpn,204,249
Nup205,1124,1474
Mboat1,227,334
Lrrc45,393,320
Gask1a,6,3
Shisa7,0,0
Zc3hc1,1527,1248
Slc45a1,0,0
Rbm27,1210,1190
Zfp641,0,0
Aasdh,100,159
Podxl2,0,0
Spopl,107,113
1700024N05Rik,0,0
Eif5a,44582,33440
Camkk2,308,462
Phactr2,535,539
Chid1,1541,1290
Spata2l,198,109
Gm28535,2,3
Gm11733,0,0
Brip1os,807,765
Sphk1,4,18
Slc2a8,627,570
Cpn2,0,0
Hddc3,87,86
Mlh1,686,688
Ncdn,1224,1256
Spata2,866,975
Ift52,1425,1484
Tvp23b,828,748
Sult4a1,114,77
Pex19,1088,1224
Hspd1,4644,3385
Fcgr3,223,177
Cxcr4,191,181
Saxo2,2,4
Prom2,0,0
B3galnt2,624,604
2900092D14Rik,0,0
Olfr697,0,0
Olfr695,0,0
Olfr702,0,0
Olfr1100,0,0
Olfr1111,0,0
Ipo5,3475,3455
Map2k3,6521,5815
Nfatc3,1657,1986
Tbc1d16,30,26
Gm904,0,0
Tep1,993,1209
Xrcc6,1155,1185
Dnmbp,193,184
Hdgf,7228,5819
Dffb,289,238
Usp17la,0,0
Dtnb,783,936
Olfr58,0,0
Dcun1d4,4,17
Gls2,219,217
Rsph14,0,0
Wfdc9,0,0
Pip5k1c,1616,2278
Pkig,676,585
Zfp934,24,45
Mdm1,175,218
Mir669a-12,0,0
Appl2,515,575
Serpina16,0,0
Slc35f2,302,295
Calml4,0,0
H2aw,232,178
C030016D13Rik,10,0
Vps29,3578,3213
Svil,502,415
Hmga2,0,0
Dlx2,0,0
Cggbp1,1530,1364
Ip6k1,1428,1478
9330162B11Rik,0,0
Gm19424,0,0
Wdr86,0,0
Dnaaf5,1335,1463
Tmed1,228,180
Mmp12,0,0
Api5,3198,4183
Grin2b,0,0
Cyp4f40,0,0
Irgm1,1453,1722
Pnkp,2238,2003
Mixl1,0,0
Slc40a1,0,0
Scarna3b,0,0
Snord8,3,6
Kbtbd8os,0,3
Slc22a8,0,0
Cnmd,0,2
Kif3a,381,437
Olfr1186,0,0
Olfr1183,0,0
Olfr860,0,0
Olfr849,0,0
Olfr859,0,0
Olfr847,0,0
Olfr855,0,0
Olfr850,0,0
Olfr854,0,0
Olfr536,0,0
Rbm22,1304,1388
Zfp932,134,106
Arhgef10,179,155
Cuedc1,6,28
Npffr1,10,6
Zfp516,12,40
Zfp280c,84,94
Bcas3,673,778
Rassf1,1097,782
C230024C17Rik,85,80
Gm15850,0,3
Dnajc6,13,23
Thsd7a,0,0
1500012K07Rik,0,0
Vmn1r253,0,0
Vmn1r243,0,0
Mdk,7,1
Cog4,576,635
0610010F05Rik,550,611
Gm16294,0,0
1700028B04Rik,6,0
Gm4541,0,0
Htr2c,0,0
Pfkfb2,38,27
Hoxc8,0,0
Hoxc6,0,1
Gle1,1543,1131
Tbc1d9b,2712,2816
Atp2c2,0,0
Ubc,2882,2388
Akip1,1112,1167
Ufl1,609,600
Atp5e,5364,4142
Gpalpp1,505,495
Vmn2r88,0,0
5430437J10Rik,0,0
Lefty1,0,0
Olfr17,0,0
Msmb,0,0
Actr3,17716,19973
Borcs5,608,445
Nyap1,31,30
Mrpl3,1566,1178
Wdhd1,309,432
Gm16159,0,0
Nt5dc1,471,515
Rasgef1c,0,8
BB557941,1,3
Naa10,2667,1964
Mir3470a,0,1
Fam171a1,15,10
4930506A18Rik,0,0
Cd247,4639,4325
Tpgs2,1180,989
Cby2,0,0
Synj1,315,399
Ubxn10,0,0
Sae1,5868,5503
Cflar,580,491
Rarb,0,10
Ppdpf,2208,1989
Rtp4,55,79
4930448F12Rik,0,0
Rbm14,1770,1746
Cdc26,932,698
Cemip,0,0
Ppp6r3,1253,1505
Mir1956,30,35
Zfp397,105,168
Vcl,71,85
Hba-x,0,0
Tmem8b,67,61
Piwil4,21,0
1700061F12Rik,0,0
4930425K10Rik,0,0
1700125H03Rik,0,0
Ly6c1,4,4
Sgce,2,24
Arsk,157,96
Gm10416,0,2
Zfp783,40,78
Gtf2h1,1325,1249
Gstt1,366,410
Gstm2,0,0
Lyve1,0,0
Glt28d2,0,0
4930455F16Rik,0,0
Mir6359,0,0
Gm11715,0,1
Mir6383,0,0
Hist1h2bp,36,34
Hhipl2,0,0
Myl6,11961,9149
Syne4,3,1
Wt1,0,0
Thtpa,251,160
Thyn1,286,196
Slamf7,4593,4239
Slc9a6,214,275
Snora23,1,1
Vmn2r94,0,0
Hp1bp3,3015,3489
Tifab,2,9
N4bp3,438,437
Ell3,7,7
6430584L05Rik,0,0
4930453L07Rik,0,0
Dmrt1i,0,0
Vps53,1574,1350
Zar1,0,0
Deptor,59,49
Itgbl1,0,0
Atp5j,7780,6276
Celf4,5,3
Lingo1,0,9
Atp6v0a1,823,612
Arhgap26,381,332
Wnt7a,0,0
Olfr535,0,0
Olfr531,0,0
Olfr522,0,0
Olfr340,0,0
Olfr341,0,0
Gm36718,0,0
Crybb1,17,18
Cel,0,0
Ugt2b35,0,0
Mtag2,0,1
Gm1141,0,0
Trappc5,1121,947
Ddx52,2281,2060
Nudt17,46,51
Tex13a,0,0
1700129C05Rik,0,0
Ndufv3,5254,4610
Hoga1,3,1
Nudcd1,756,711
Naa38,476,397
Mthfs,285,303
Dnlz,682,568
Tmem219,1003,758
Klhdc8b,36,28
Celf5,8,4
Trpc1,28,84
Duxbl1,0,0
Gtdc1,109,98
Ankrd46,590,553
Gm15328,0,0
Gm5458,0,0
Taf7,576,550
Chn1,9,12
Zfp608,49,50
Fbln2,0,14
Rcn2,1550,1445
Cops3,1859,1484
Dpt,1,0
Chka,213,166
Cd84,282,334
Tm4sf5,3,19
Hpca,0,0
Gm13306,0,0
Smad5,200,140
Ly6e,30471,34791
A330049N07Rik,0,0
1700084D21Rik,1,3
Chsy3,4,0
1700041M19Rik,0,0
4930545E07Rik,0,0
1700019C18Rik,0,0
Mir299b,0,0
Ifih1,85,92
Dcaf17,495,451
Mir1897,0,0
H2-Q5,356,330
Zfp354a,0,1
Syn2,13,1
Naxd,1348,1077
Umps,1740,1669
Crlf3,2101,2214
Mir5618,0,0
Sbsn,26,41
Spag11a,0,0
Tssc4,527,447
Pim2,2798,2808
Ccdc22,525,517
Kctd7,23,43
Larp7,1107,874
Rapgef6,2076,2290
Rapgef3,172,206
Ankrd54,1853,1768
Pcca,464,358
Otx2,0,0
Ppp1r1b,2,16
Arl6,296,342
Rnf220,2057,1544
Pde8b,1,1
Gzma,225660,205412
Gypa,0,0
Tln1,9483,9952
Myef2,240,226
Fbxo7,654,649
Nlrp2,0,0
Mthfsd,397,359
0610010K14Rik,1356,1166
Mtss1,612,366
Grid2ip,0,0
Stab1,2,23
Cdc14b,321,347
Anp32e,5301,5630
Slc30a7,937,845
Psmd12,3635,3016
Stoml1,791,456
Baiap3,477,672
Raet1d,0,0
Hat1,1779,1982
Ndufb8,6085,4734
Tnp1,0,0
Tnni3,10,7
Ttc9c,610,627
1700073E17Rik,0,0
Sh2b2,43,22
Fam170b,4,7
Cldn14,0,0
Smok3a,0,0
Ccl27b,0,0
AW046200,18,4
Slc37a4,1970,1789
Rab28,1243,966
Unc93b1,1649,1802
Tmem163,800,691
Egln3,5004,5785
Pgm1,6444,6779
1700030M09Rik,0,0
AI182371,11,0
Lrat,0,9
Zfp830,493,527
Ccdc146,21,34
4930572O13Rik,13,6
Frmd3,0,0
Rtel1,718,670
Mir3960,4,5
Stmn1,3924,3715
Yae1d1,84,54
Med11,1267,1046
Pgls,4549,3490
Chchd5,615,518
Krt81,0,0
Tnfrsf23,35,43
Arhgef3,281,411
Myog,0,0
Ttyh2,96,125
Mir467a-5,0,0
Tmsb15b1,6,1
Il13ra2,0,0
Adamts7,2,1
Zfand6,3596,3340
Slc4a10,0,0
Crkl,1121,964
Scn3b,0,4
Cdk12,594,377
Msmp,0,0
Brwd3,95,93
4930563M21Rik,0,0
Tm9sf2,2899,3264
Snora7a,6,4
Scarna8,0,0
Glyr1,2729,2483
Abhd10,278,260
Svs2,0,0
Uchl1,237,219
2900041M22Rik,148,154
A930005H10Rik,251,199
Abra,0,0
Ccdc155,3,8
Trim56,77,45
4930596I21Rik,5,1
Lig1,3367,3080
Uso1,2096,2241
Noxa1,0,0
Nfam1,0,0
Dab2ip,45,15
Ptch1,399,332
Tex21,0,0
Cyp2b19,0,0
Ifna7,0,0
Ifna11,0,0
Ifit1,19,24
Mir7003,0,0
Vmn2r75,0,0
Vmn2r44,0,0
Hspb7,1,0
Tmem97,2115,1640
Fgf6,0,0
Fgf5,0,0
Gm1600,0,0
Pym1,684,575
Zfp219,376,225
Cyp7b1,3,0
Snora30,7,0
Numb,378,380
Zfp931,33,47
Rps23,6709,5111
Slco1c1,0,0
Rab5c,860,666
Fus,1753,1459
Map2k2,6275,4788
Adss,1948,2040
Ddx5,6941,6372
Gpr141b,2,4
Ormdl1,743,699
Plekhb2,3960,4243
Hic2,47,26
Synrg,743,868
Naif1,163,206
1810009J06Rik,2,0
Rapsn,92,44
Gstm5,57,59
Krtap13,0,0
Sybu,10,0
Adgrd1,0,14
4930405D11Rik,0,0
Septin3,0,0
Klrk1,10373,9372
Tmem254b,0,0
Dap3,1405,1196
Clec12b,0,0
Lrp10,10258,10672
Arl6ip5,4704,4104
Zic5,0,0
Mad1l1,782,847
Psma7,11018,8505
4732416N19Rik,2,0
Mir378b,0,0
Slc27a5,0,0
Ran,11958,9840
Fads2,2757,2626
Samd4,47,33
Ndufb4,475,366
Leprotl1,3014,3019
Sympk,1754,1309
Tenm4,0,0
Ugt1a2,0,0
Eed,1492,1376
Mff,2749,2672
Vsnl1,0,0
Mageb2,0,0
H3f3b,26939,25805
H3f3a,3701,3717
1810062G17Rik,35,53
Pdpk1,1066,1112
Padi4,2,0
Padi3,0,0
Hmgcr,5007,5705
Acadl,7004,5621
Fam3b,5,9
Rer1,5341,4871
Nmral1,492,416
4930591A17Rik,0,0
Klk1b11,4,0
G6bos,0,0
Hbb-bh1,0,0
Tmbim7,11,9
Gm13057,0,0
Dpys,0,0
Ttbk1,0,0
Mup13,0,0
Them7,0,0
Ppm1h,1462,1453
Cacna1a,74,43
Atf2,496,473
Sp100,3713,3686
Soga1,25,43
Jmjd4,144,153
Mup16,0,0
Tasor2,150,175
Olfr827,0,0
Olfr746,0,0
Olfr1115,0,0
Olfr437,0,0
1700001L05Rik,61,57
Usp27x,26,12
Trak2,468,554
Gm26633,0,0
Agfg2,947,1024
Frs2,77,95
Depdc5,319,324
Mterf1a,51,53
1700025G04Rik,304,421
Nudt1,536,434
Efr3a,2283,2843
Itga2,75,102
Il5ra,0,0
Tom1l1,8,15
Ankrd35,11,35
Trp53i11,1804,1822
Rai14,145,96
Hmgcl,1504,1281
Fam53a,1511,1173
1700015G11Rik,0,0
Trpc5os,0,0
C1qc,0,0
C1qbp,2904,2177
C1qa,0,0
Btg2,1864,1459
Btg1,4416,4911
Ccar1,2133,1843
Pdia4,8519,8428
Exog,213,198
Zbtb49,139,98
Lpcat3,2599,2500
Tmem123,5877,6379
Vac14,1604,1613
Gm5524,0,0
Tmem127,979,1031
Lce1d,0,0
Dppa1,0,0
Mtus1,0,0
Mir7004,0,0
Gpr173,0,0
Mylk3,1,0
Mrpl55,870,808
Aktip,373,352
Fmo6,0,0
Sigmar1,1596,1176
Reps2,0,0
Mkks,601,510
Fam53b,210,325
Lrrfip1,6711,6160
Tcta,438,393
Rgr,0,0
Cep63,636,537
Azin1,928,814
Sdc3,57,58
Dtna,0,0
Adam24,0,0
Adam26a,0,0
Adam28,0,0
Olfr1151,0,0
Olfr1141,0,0
Gm2011,29,21
Olfr1489,0,0
Olfr1504,0,0
Enpep,0,0
Mir7008,0,0
Nsun7,0,2
Cnpy1,0,0
Ipw,0,0
Egf,4,6
Slc6a12,0,0
H13,8578,7435
Olfr155,0,0
Dld,2198,1870
Fbxw14,0,0
Hsf2,56,53
Lsm14a,2094,2199
Pcgf6,364,376
Znrf3,114,73
Ttc14,1129,1092
Lpar1,0,1
Lamp2,1810,2269
Xiap,187,111
Gm15008,0,0
Grpr,0,0
Cxcl1,0,0
Grn,2045,2743
Grm8,0,0
Nr3c1,744,549
Grin2d,21,6
Grin2a,0,0
Zcchc4,345,302
Espn,71,110
Olfr157,0,0
Knop1,781,623
Pla2g12a,2046,1796
Snx1,3245,3276
Tenm2,0,0
Spg21,3985,3657
Etv4,26,33
Smim22,0,0
Pcsk6,2,0
Hdc,22,20
Gm20517,7,0
Borcs7,407,327
Casp7,272,201
Crygc,0,0
Cryga,0,0
Dhx15,2518,2552
Gadd45a,59,62
Dctn1,2554,2463
Prss40,0,0
Arhgdig,687,429
2210414B05Rik,0,0
1700030L20Rik,0,0
1700025F24Rik,0,0
1700123M08Rik,31,13
Mgarp,1163,1408
Cops9,2418,1584
Cdc42bpa,10,37
Mir7009,1,1
Vmn1r252,0,0
Olfr1006,0,0
Pebp4,0,0
Olfr530,0,0
Olfr523,0,0
Olfr1375,0,0
Olfr99,12,10
Olfr95,0,0
Csprs,0,1
Olfr107,0,0
4932412D23Rik,0,0
Mir3084-1,0,0
Mir3083,0,0
Tcaf1,0,0
Stx16,305,377
Psd,65,34
E130112N10Rik,1,10
Serpinb9g,0,0
Gm51272,0,0
Gm51278,0,0
Gm51294,0,0
Gm51271,0,1
Gm51293,0,0
Gm51292,0,0
Kif5b,3633,3399
Mybpc3,0,0
Mgat4a,489,331
Tle5,13430,10819
Miox,0,0
Krtap6-1,0,0
1700029J03Rik,0,0
Mir7218,0,0
Smc2,1946,2297
Drosha,709,752
R3hcc1,846,630
Nos2,23,8
Rpusd3,288,177
Pds5b,575,711
Btf3,5858,4866
Esp24,0,0
Gm5071,0,0
Sh3bp5,382,610
Msra,322,274
Fgfr2,0,0
P4htm,146,144
Cnot6,2111,1876
Prr5l,221,294
Ccny,1241,888
C230072F16Rik,0,2
Gm10732,0,0
Ywhaz,12104,12866
Smagp,15,3
Cistr,0,0
Rnf41,689,685
Recql,1083,1111
Etfbkmt,174,171
Ang3,0,0
Mpped2,3,1
Tnnt2,0,0
Bcor,1126,1106
Prdx6b,0,0
Napg,534,469
Vmn1r50,0,0
Vmn1r54,0,0
Cpne7,0,0
Eogt,504,505
Slc1a7,0,0
1700112J16Rik,0,0
Uba1,12680,13094
Trim3,173,260
Pyurf,443,378
Amdhd1,63,34
Aldh1a1,0,0
Sult2a1,0,0
Caprin1,5872,6567
Hbs1l,1475,1345
Ctdsp2,839,687
Ost4,2250,1767
Vcan,3,2
Slc6a5,0,0
Rtkn,24,17
Smg7,839,939
Ralgds,831,910
C87499,0,0
Slc7a11,26,10
Sf1,4247,4007
Sars2,562,526
Riox1,991,821
Aox4,0,0
Cd244a,3290,2486
Isyna1,3058,2371
Ing3,391,490
Plbd2,1692,1721
Atoh7,0,0
Fkbp1b,47,41
Pmaip1,709,733
Aox3,0,0
Esm1,2063,2821
Gdpd2,0,0
Sdcbp,6275,6995
Hnrnpa2b1,18510,16694
Kat6b,48,72
Hacd2,861,744
Copg1,4553,4690
Olfr577,0,0
Olfr979,0,0
Olfr974,0,0
Olfr980,0,0
Olfr978,0,0
Olfr550,0,0
Olfr555,0,0
Olfr552,0,0
Eng,46,77
Olfr391,0,0
Krtap22-2,0,0
Ldlr,2510,2778
Gm15246,11,7
Dmtn,0,7
Platr7,1,0
Platr9,0,0
Alg11,188,190
Mir28c,0,0
Vmn2r60,0,0
Vmn2r59,0,0
Vmn2r58,0,0
Fam3a,523,563
Stmn3,0,0
Rps6ka1,13092,11294
Pdlim3,0,0
Cacna1h,0,0
Bnip2,3030,2938
Pbsn,0,0
Gucy1b1,0,0
Ube2j1,2740,3024
Spef1,54,5
Mir7221,0,0
Eomes,1035,406
Tulp2,4,1
Mir7675,0,0
Gm13090,0,0
Sema4f,835,1454
Gad2,41,57
Gm16982,0,0
Lmo4,170,137
Nedd9,3939,3871
Mir683-2,0,0
Gm5925,0,0
Wdfy4,14,13
Fut2,0,0
4930572K03Rik,0,0
Rab7b,0,0
Lrrc49,63,34
Nom1,834,746
Smad4,1124,1365
Ccn4,0,6
Srr,103,137
Dnajb9,139,95
Add3,1757,1938
Gyg,1681,1590
Gm16973,6,0
Avpr2,0,0
Nmi,1224,1236
Serpina3m,0,0
Serpina3n,0,0
Bhlhe40,10197,9988
Fmn1,1,0
Polr1e,642,718
Suv39h2,46,42
Scube1,0,1
Fzd5,51,32
Msrb1,442,355
Ndufs5-ps,87,53
Gm21258,0,0
1700057H21Rik,0,0
Mir466c-1,0,0
Mir466b-1,0,0
Tomt,28,42
Clcn4,1097,1036
Fam104a,744,685
Nck1,281,276
Baz1b,1148,1443
Prg2,0,2
Gm13304,0,0
Ccng1,7214,6494
Rab6b,114,87
Iqcj,0,0
St8sia3,0,0
Il1b,0,0
Jak2,932,1327
Vax1,0,1
Vav2,83,52
Rab9,377,396
Chp1,2142,2247
Tspan3,1145,1515
Olfr373,0,0
Olfr315,0,0
Nup133,722,850
Spire2,28,4
Olfr1014,0,0
Olfr1012,0,0
Olfr843,0,0
Olfr830,0,0
Olfr837,0,0
Olfr836,0,0
Olfr862,0,0
Olfr873,0,0
Olfr872,0,0
Olfr868,0,0
Olfr866,0,0
Olfr869,0,0
Olfr798,0,0
Olfr805,0,0
Olfr806,0,0
Olfr811,0,0
Olfr788,0,0
Olfr810,0,0
Olfr786,0,0
Olfr800,0,0
Olfr771,0,0
Olfr775,0,0
Olfr777,0,0
Olfr1360,0,0
Olfr1361,0,0
Olfr1364,0,0
Rita1,103,72
Gstk1,203,215
Wdr6,1786,1920
Pstpip2,17,17
Catsperb,0,0
Exoc4,1471,1457
Gm36536,0,0
Raph1,417,282
Kncn,0,0
Arhgap32,0,0
Defb25,0,0
Mboat2,260,402
Ndor1,417,329
Ccdc126,43,82
Tyw5,150,148
Pepd,1992,1653
Rhox5,0,0
Plau,19,12
Csnk2a2,750,661
Ldha,144869,132840
Bbx,1101,1051
Hmgb1,6368,5696
Slfn10-ps,685,609
5730488B01Rik,0,0
Camk2d,523,709
Psip1,1447,1178
Crybb2,0,0
Fam155a,0,0
Cdkn2c,487,457
Fancd2,336,343
Dnajb3,20,32
Alppl2,0,0
Alg12,345,342
Tbc1d22a,869,785
Cd27,1149,1730
Shroom1,0,0
Olfr20,1,0
Olfr376,0,0
Pnisr,1917,1583
Olfr267,0,0
Olfr1188,0,0
Olfr1180,0,0
Olfr1179,0,0
Olfr211,0,0
Olfr1377,0,0
Olfr1378,0,0
Olfr51,0,0
Olfr1280,0,0
Olfr1282,0,0
Olfr853,0,0
Olfr851,0,0
Pirb,10,2
Ggt7,118,155
Olfr1199,0,0
Igfbp3,0,0
Igfbp1,0,0
Tsx,0,0
Hk3,29,38
Kif1b,294,384
Trex1,0,0
Plscr1,3204,3237
Trp53,3367,2900
Atp11a,261,422
Zfp13,0,0
Ammecr1,99,79
Trap1a,0,0
Snx33,84,71
Fcgr2b,0,4
Nras,3324,2937
Nr1i2,0,1
Npy6r,0,0
Orm3,2,5
Kcnab2,3363,3126
Snord16a,2,3
Snord110,0,1
Zscan25,43,9
Senp8,141,95
Ccm2,1463,1420
Cpeb1,0,2
Pcmt1,2273,2061
Igbp1,847,791
Serp2,9,14
Mir297a-3,0,0
Mir18b,0,0
Gm1995,0,0
Cyp4b1-ps2,0,0
Mir3106,0,0
Mir6962,0,0
Arfgef1,1084,1263
Zfp185,0,0
Vmn2r27,0,0
Rhobtb3,0,0
Ccdc18,81,145
Bmper,0,4
Mir1896,0,0
2810414N06Rik,41,19
4930549C15Rik,0,0
B330016D10Rik,23,30
Rnaseh2b,708,817
Ces1d,0,0
1110059E24Rik,672,682
Batf3,1669,1538
Cst11,0,0
Pom121,903,1042
Rbm5,1201,1291
Atp1a1,3066,3237
Stn1,1356,1198
Ccdc169,0,0
Vmn2r21,0,0
Wdr36,1529,1631
Zcchc2,354,360
Serac1,21,25
Smarcb1,2850,2378
Serpinb12,0,0
Aip,2598,2565
Ifitm7,1,11
D830013O20Rik,0,0
Etd,0,0
D6Wsu163e,382,340
Rtcb,3793,3520
Mlec,6376,5899
Rbm15b,1356,1200
Cdk5rap2,755,674
Exosc4,1969,1988
Mrps27,721,435
Miga2,133,123
Akap6,0,0
Uncx,0,0
Ramp3,95,28
Trpc3,0,0
Mir7010,0,0
Gm5766,0,0
Spi1,0,1
Serf2,3203,2741
Sema7a,37,52
Bmp4,0,0
Mif,18331,14784
Nat14,20,15
Grik2,0,0
2010010A06Rik,1,0
Prnd,0,0
Trp73,137,131
Picalm,1264,1289
1700022H16Rik,0,0
Dmxl1,312,332
Irf7,227,407
Zfp119b,36,41
Dnah7c,0,0
Myl10,105,184
AI427809,0,0
Dusp13,1,0
Phf21b,16,5
Uqcc1,732,461
Yjefn3,23,31
Gemin6,320,339
Hspb11,377,404
Grap2,1449,1269
Mir1901,0,0
Mir1893,0,0
Mir1898,3,1
Mir1906-1,0,0
Cplx4,0,0
Atpaf2,1211,967
Tex22,1,2
Mir7228,0,0
Mir7222,0,0
Eif2ak3,1039,1159
Tbc1d15,985,1099
Fam234b,978,1074
Mir450-1,0,0
Arhgef7,284,251
Qrfprl,0,0
Zbtb21,479,396
Shroom4,0,0
G3bp2,5398,5655
Gm5415,0,0
Tdpoz8,0,0
Odaph,113,40
Gm10413,0,0
Stk38l,263,334
Cenpo,296,312
Slain1,1216,1250
Cma2,0,0
Tdrp,0,7
Mir7011,0,0
Krtap26-1,0,0
Cth,42,41
Slc25a41,0,1
Epop,1714,1287
Nt5dc3,74,65
9530003J23Rik,0,0
Gnb4,909,855
Gnb3,0,2
Kcnip3,9,4
Snap91,0,0
Kdm5c,1398,1388
Tecta,0,1
Dnaaf4,78,64
1500009L16Rik,1129,979
Rfpl4,0,0
Vwa5b2,0,0
Was,1439,1222
Nrsn1,0,0
2310079G19Rik,0,0
Ccdc78,6,12
Ifi47,1789,2930
Myo10,1847,1177
Ggt1,407,451
Cct5,13690,10788
Hhex,54,28
Pdk1,2874,3542
Lhfpl3,14,3
Ripk1,1305,1554
Tnni2,0,0
Gm6570,0,0
Gsc,0,0
Il18bp,30,38
Tle3,1911,2021
Mir216c,0,0
Spic,0,0
Ccr4,217,173
Tubgcp6,300,429
Reg4,0,0
Pcnx4,361,411
Tmem179b,1325,1148
Tob2,940,939
Xpo4,364,376
Lipt2,30,40
Snora28,16,57
Mir1931,22,30
